area_coverage_2016,area_coverage_2014,area_sq_km,pcd_sector,area_coverage_2015,name,site_count,site_density
100.0,0.0,4.2067,S727,0.0,BarnsleyDistrict,3,0.713148073311622
100.0,0.0,5.6539,HD97,0.0,BarnsleyDistrict,1,0.17686906383204512
61.70642944,0.0,8.1609,S751,0.0,BarnsleyDistrict,7,0.8577485326373316
0.0,0.0,8.4745,S739,0.0,BarnsleyDistrict,5,0.5900053100477903
0.0,0.0,10.2008,S705,0.0,BarnsleyDistrict,5,0.49015763469531803
0.0,0.0,20.1811,S753,0.0,BarnsleyDistrict,10,0.4955131286203428
0.0,0.0,33.7662,HD88,0.0,BarnsleyDistrict,13,0.385000385000385
0.0,0.0,5.3525,S368,0.0,BarnsleyDistrict,0,0
0.0,0.0,12.9212,S720,0.0,BarnsleyDistrict,1,0.07739219267560288
0.0,0.0,27.4819,S369,0.0,BarnsleyDistrict,8,0.2911006880892515
0.0,0.0,18.8014,S367,0.0,BarnsleyDistrict,3,0.15956258576488985
100.0,0.0,1.5253,BA23,100.0,BathandNorthEastSomerset,4,2.6224349308332786
100.0,0.0,1.647,BA16,100.0,BathandNorthEastSomerset,4,2.428658166363084
100.0,0.0,1.3671,BA12,100.0,BathandNorthEastSomerset,4,2.9259015434130644
100.0,0.0,2.4405,BA22,100.0,BathandNorthEastSomerset,5,2.0487604998975617
100.0,0.0,3.1655,BA21,100.0,BathandNorthEastSomerset,5,1.5795293002685198
100.0,0.0,1.9787,BA24,100.0,BathandNorthEastSomerset,5,2.5269116086319303
100.0,0.0,2.4888,BA13,100.0,BathandNorthEastSomerset,7,2.812600450016072
100.0,0.0,2.0813,BA14,100.0,BathandNorthEastSomerset,0,0
100.0,0.0,3.2638,BA25,100.0,BathandNorthEastSomerset,6,1.8383479379863963
100.0,0.0,2.4074,BA15,80.66794052,BathandNorthEastSomerset,6,2.4923153609703417
100.0,0.0,4.6609,BS311,0.0,BathandNorthEastSomerset,9,1.9309575403891952
